Year,Rate
2023,1943
2022,1801.87
2021,1798.89
2020,1773.73
2019,1393.34
2018,1268.93
2017,1260.39
2016,1251.92
2015,1158.86
2014,1266.06
2013,1409.51
2012,1668.86
2011,1573.16
2010,1226.66
2009,973.66
2008,872.37
2007,696.43
2006,604.34
2005,444.99
2004,409.53
2003,363.83
2002,310.08
2001,271.19
2000,279.29
1999,278.86
1998,294.12
1997,331
1996,387.73
1995,384.07
1994,384.16
1993,360.05
1992,343.87
1991,362.34
1990,383.73
1989,381.27
1988,436.78
1987,446.84
1986,368.2
1985,317.42
1984,360.65
1983,423.71
1982,376.11
1981,459.16
1980,614.75
1979,307.01
1978,193.57
1977,147.84
1976,124.8
1975,160.87
1974,158.76
1973,97.12
1972,58.17
1971,40.8
1970,35.96
1969,41.1
